country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Honduras,,,,,,,,,,,,,,,,0.248,0.238,0.146,0.211,0.161,0.25,0.525,0.314,0.132,1.03,0.465,0.536,0.245,,,
Croatia,,,,,,,,,,,,,4.33,4.31,4.02,3.75,3.23,3.11,2.56,2.72,3.96,5.3,5.95,6.77,6.09,6.03,4.12,3.1,2.07,1.69,1.82
Hungary,,,2.53,3.73,3.6,3.83,3.77,3.13,3.11,2.46,2.39,2.02,1.97,1.9,1.88,2.25,2.32,2.34,2.5,3.17,4,3.62,3.79,3.49,2.64,2.32,1.8,1.29,1.13,1.01,1.09
Indonesia,0.681,0.646,0.646,0.687,1.05,,1.17,1.17,1.34,1.78,1.58,1.35,1.46,1.4,1.52,2.16,1.95,2.05,2.55,2.06,1.86,1.61,1.37,1.36,1.29,1.56,0.948,0.785,0.885,0.755,0.976
Ireland,,,5.81,5.95,5.87,4.75,4.65,4.03,3.16,2.21,1.6,1.21,1.45,1.63,1.67,1.51,1.5,1.59,2.22,4.85,6.83,7.39,7.4,6.12,5.08,4.24,3.41,2.41,1.68,1.39,1.36
Iran,,,,,,,,,,,,,,,,,,,,3.09,3.38,,,,2.51,2.6,3,3.3,3.32,,
Iceland,,0.058,0.249,0.621,0.818,0.869,0.683,0.536,0.41,,,,0.364,,,,0.322,0.219,0.16,1.15,1.99,1.69,1.33,1.04,0.85,0.494,,0.355,,,1.08
Israel,,,,,,0.591,0.549,0.675,0.926,1.08,1.16,1.04,1.51,1.72,1.87,1.57,1.55,1.19,0.885,1.23,1.18,0.846,0.882,0.766,0.645,0.594,0.529,0.412,0.323,0.291,0.387
Italy,,,2.25,2.71,3.22,3.38,3.49,3.64,3.73,3.5,3.33,2.93,2.71,2.62,2,1.91,1.68,1.45,1.62,2.03,2.4,2.5,3.34,4.09,4.29,4.05,3.82,3.7,3.46,3.16,2.76
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19,5.11,4.4,
Japan,0.652,0.585,0.535,0.565,0.725,0.836,0.963,1.04,1.1,1.47,1.68,1.61,1.8,1.93,1.73,1.57,1.48,1.32,1.37,1.67,1.99,1.72,1.67,1.59,1.37,1.26,1.2,1.03,0.837,0.839,0.907
Kazakhstan,,,,,,,,,,,,,,,,,,,,1.11,0.918,0.687,0.838,0.812,,,,0.656,,,0.577
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,1.18,1.16,1.05,1.11,1.86,1.84,1.57,1.67,,1.24,,
Cambodia,,,,,,,,,,,,,,,,,,0.0967,,,,,0.153,,,,,,,0.0638,
South Korea,0.236,0.236,0.254,0.336,0.349,0.24,0.233,0.288,0.722,0.838,0.455,0.373,0.329,0.263,0.295,0.293,0.27,0.297,0.219,0.252,0.201,0.177,0.197,0.171,0.183,0.138,0.204,0.248,0.233,0.219,0.157
