Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,,ChannelS,Watch time(Minutes)S,Stream time(minutes)S,Peak viewersS,Average viewersS,FollowersS,Followers gainedS,Views gainedS,PartneredS,MatureS,LanguageS
pokimane,964334055,56505,112160,16026,5367605,2085831,45579002,TRUE,FALSE,English,,RobertoCein,149162865,114120,15249,1270,730326,422842,2907888,TRUE,TRUE,Spanish
Method,905107560,230940,148350,4135,401400,132108,22813009,TRUE,FALSE,English,,Vicens,146199795,26115,30628,5739,730679,724245,4110592,TRUE,FALSE,Spanish
Nightblue3,899215845,118980,17738,7234,2641880,175130,19181711,TRUE,FALSE,English,,LRojo_,144763395,111435,11178,1192,100767,82320,3959878,TRUE,FALSE,Spanish
EsfandTV,888938940,189045,29597,4393,471970,216021,24144005,TRUE,FALSE,English,,BarcaGamer,141736230,119565,57917,1234,636568,548578,3012949,TRUE,FALSE,Spanish
shroud,888505170,30240,471281,29612,7744066,833587,30621257,TRUE,FALSE,English,,ElOjoNinja,134761230,82020,9339,1484,273504,133594,5226901,TRUE,FALSE,Spanish
Scarra,864157695,138360,27421,6060,1242014,333090,15626904,TRUE,FALSE,English,,Tanovich,133079115,89865,10352,1434,296560,219383,3677360,TRUE,TRUE,Spanish
LPL,850636305,48765,146577,17573,502467,280538,31029241,TRUE,FALSE,English,,iGeStarK,131957700,79455,12893,1282,244437,231731,2948954,TRUE,FALSE,Spanish
OverwatchLeague,805163370,24480,254493,33132,1796619,83198,27099682,TRUE,FALSE,English,,SoyPan,129903855,132840,13884,954,343191,162018,2167760,TRUE,FALSE,Spanish
Thijs,794621265,108720,24923,7180,755116,68557,15548337,TRUE,FALSE,English,,wingz,128746905,92715,3940,1347,85695,32924,3057045,TRUE,FALSE,Spanish
Swagg,790021440,108375,74199,6309,784966,723082,7527027,TRUE,FALSE,English,,FlexZ,127550640,114750,14278,897,155382,133959,3254805,TRUE,FALSE,Spanish
TeePee,789698115,170010,78741,4410,520519,238257,17102146,TRUE,TRUE,English,,Staryuuki,127219620,77040,5530,1467,586475,530306,5418113,TRUE,FALSE,Spanish
LVNDMARK,788421150,199350,96236,3688,248829,244295,8815201,TRUE,FALSE,English,,LITkillah,122524635,13560,21359,9104,601927,562691,2162107,TRUE,FALSE,Spanish
BLASTPremier,753808200,25260,113167,24689,501371,315910,21104122,TRUE,FALSE,English,,,,,,,,,,,,
cloakzy,748023225,101670,40497,6743,2138294,558107,14533643,TRUE,FALSE,English,,,,,,,,,,,,
aceu,744620970,118125,26141,6328,859439,763489,15894732,TRUE,TRUE,English,,,,,,,,,,,,
Elajjaz,726000045,145755,13080,4922,346566,37883,12800182,TRUE,FALSE,English,,,,,,,,,,,,
CDNThe3rd,722562675,134280,55752,4919,2009972,167704,15136396,TRUE,FALSE,English,,,,,,,,,,,,
WePlayEsport_EN,704823000,107745,87751,6127,175061,137229,17857171,TRUE,FALSE,English,,,,,,,,,,,,
allkeyshop_tv,663185955,487005,6075,1361,67472,26937,55639770,TRUE,FALSE,English,,,,,,,,,,,,
PlayHearthstone,661075170,41175,43877,13154,825727,39065,28719610,TRUE,FALSE,English,,,,,,,,,,,,
ESL_DOTA2,661049190,212010,99858,4714,337177,91323,14784068,TRUE,FALSE,English,,,,,,,,,,,,
Kitboga,656365305,80760,20913,7394,772055,331906,8392545,TRUE,FALSE,English,,,,,,,,,,,,
DansGaming,653181210,187530,33646,3270,817365,29415,13757678,TRUE,FALSE,English,,,,,,,,,,,,
Destiny,650910525,162690,24101,3894,571183,115692,8579344,TRUE,TRUE,English,,,,,,,,,,,,
RATIRL,649761570,145050,14480,4420,423002,249048,14109245,TRUE,TRUE,English,,,,,,,,,,,,
Yogscast,644580630,443130,54885,1384,961860,127684,20999649,TRUE,FALSE,English,,,,,,,,,,,,
dogdog,622199835,103335,24727,5856,594239,50345,12089717,TRUE,FALSE,English,,,,,,,,,,,,
chocoTaco,620395515,160830,30514,3846,1134153,250201,17922897,TRUE,FALSE,English,,,,,,,,,,,,
Amouranth,618067800,235170,13495,2560,1707804,532750,48015117,TRUE,FALSE,English,,,,,,,,,,,,
UberHaxorNova,615472275,181950,7808,3247,421256,65267,7518457,TRUE,FALSE,English,,,,,,,,,,,,
Giantwaffle,612594165,165525,36340,3429,878934,15334,10831070,TRUE,FALSE,English,,,,,,,,,,,,
imaqtpie,596368095,167190,26087,3478,2652018,50312,13182700,TRUE,FALSE,English,,,,,,,,,,,,
x2Twins,595707975,125745,31874,4167,1288969,1035561,15264996,TRUE,FALSE,English,,,,,,,,,,,,
